essay_id_comp,pair_id,is_ell,binoculars_score
06911EF88750,0,1,1.103515625
1D6220DAB645,1,1,1.0224609375
1EC48C7220A9,2,1,1.1015625
22D430B4DA50,3,1,1.041015625
2C2048E6F957,4,1,1.08203125
3.78E+11,5,1,1.05078125
31DC1BA3B765,6,1,1.1728515625
550102B59704,7,1,0.95458984375
551396E2E622,8,1,1.04296875
68F9DF667783,9,1,1.04296875
6EDFF3B2F173,10,1,1.1484375
771088AF11CF,11,1,0.98828125
81D644A1BCB6,12,1,0.97314453125
86D9CA923898,13,1,1.1171875
88DB81B8AFF1,14,1,1.0771484375
892FAC621FF5,15,1,1.119140625
A18E788DEDF8,16,1,1.0703125
ADBB29D9E179,17,1,0.9736328125
AEE7027DF5C3,18,1,1.0751953125
B30CDC5510F6,19,1,1.091796875
BD3AE65B1740,20,1,1.087890625
BD45F6A61711,21,1,1.0966796875
C0FE91AC1007,22,1,0.99267578125
C3E58C5A8354,23,1,1.1005859375
D123B48DE9CD,24,1,0.98974609375
D1E865DE0A88,25,1,1.0615234375
D4F74B3F2A23,26,1,0.99462890625
D6E50750087E,27,1,1.1376953125
DFD34931CE5D,28,1,1.1416015625
E60A91172B20,29,1,1.0390625
042CAC7A1944,30,1,1.048828125
0AB9C286F515,31,1,1.0859375
0EC4EF416F2F,32,1,1.20703125
1065173BBE31,33,1,1.142578125
1FC12A1F6AF7,34,1,1.0595703125
215798B40912,35,1,1.0732421875
28DB8FB12DF2,36,1,1.0869140625
29A8E6DA6F04,37,1,1.095703125
2D10F2D7A580,38,1,1.0859375
3009A8F385F7,39,1,1.1181640625
3118C7939533,40,1,1.05078125
35F5213FB76E,41,1,1.17578125
3837C1E433D2,42,1,1.158203125
3BB58E6FF471,43,1,1.078125
3C3DB575B145,44,1,1.0693359375
48DDFE6E00F1,45,1,1.10546875
4A891CB4137C,46,1,1.0732421875
4D8415D5FABD,47,1,1.0078125
4EA97FE40C2A,48,1,1.013671875
4EF6C70DC809,49,1,1.0771484375
50CD861B1F17,50,1,1.0947265625
57526C588B5A,51,1,1.1298828125
5783E98C8CD1,52,1,1.0966796875
57A9D85DC789,53,1,1.125
58D15433E622,54,1,1.0595703125
5E3A5B645F49,55,1,1.0263671875
5EB322E4BBF8,56,1,1.1220703125
62547931560B,57,1,1.064453125
64B8D752CAFF,58,1,1.1162109375
67145A5E0000,59,1,1.0341796875
679F9CCEA15A,60,1,1.130859375
67FF9FA794A7,61,1,1.087890625
681AE0381A53,62,1,1.0673828125
687134C8A628,63,1,1.1318359375
6F67FFCB065A,64,1,1.076171875
7918119EFBE8,65,1,1.056640625
79F0FAF84694,66,1,1.07421875
81C842E5AFE4,67,1,1.0283203125
81EC93D0EF50,68,1,1.056640625
85A8289D3117,69,1,1.123046875
89250C89D474,70,1,1.0771484375
8D3F64CB71A3,71,1,1.0498046875
98A5E601C626,72,1,1.0263671875
9B90E0AB50AF,73,1,1.08984375
9E93D3D95C5F,74,1,1.052734375
A2687DC4AC9F,75,1,1.0341796875
A8B028FCCF5B,76,1,1.0283203125
A930350D5AE7,77,1,1.1494140625
AA06B5CC9A66,78,1,1.1103515625
AD7012F5871A,79,1,1.064453125
AE416AEFE28E,80,1,1.0615234375
BE7661E3E571,81,1,1.103515625
BF070C66EE96,82,1,1.08203125
C54C7EF5A5A6,83,1,1.068359375
C5569B2725B4,84,1,1.072265625
CE47E51746E3,85,1,1.083984375
D409DB602758,86,1,1.072265625
DF2A49B9716F,87,1,1.0419921875
DFB707766C4F,88,1,1.130859375
E4EA4EAB3679,89,1,1.05078125
E7E9F568417F,90,1,1.1708984375
E978C0850898,91,1,1.125
EE03F24377D0,92,1,1.0478515625
FB33A8E58C6F,93,1,1.044921875
FC9BC150809F,94,1,1.0986328125
FF7AFA7FF8B6,95,1,1.08984375
0563F089C239,96,1,0.9921875
0985602832CD,97,1,0.9111328125
0CFDDC1CF75A,98,1,1.103515625
0DF2006FC8F1,99,1,0.94384765625
11E1C6E089DF,100,1,1.03125
194F79C3C5C0,101,1,0.9521484375
1A425C27196E,102,1,1.04296875
1D51BCF69AD3,103,1,0.98779296875
1D75D76AC202,104,1,0.9677734375
223FCA37F79D,105,1,0.97705078125
22B6586B8AC2,106,1,0.98974609375
280F4A13DE2B,107,1,0.98486328125
29765A8DA7DC,108,1,1.0234375
2ACDFF7FCAAA,109,1,1.0126953125
2DB2B8124AA8,110,1,1.0244140625
31DEDD89C49A,111,1,0.9794921875
33ADAAB38BFC,112,1,1.0068359375
33E25E6A8028,113,1,1.0712890625
37423449B879,114,1,1.0009765625
39B6454376C8,115,1,0.89599609375
3AB3FC197550,116,1,1.09765625
3FF91197E74D,117,1,0.93994140625
4639878D6C17,118,1,0.94140625
49C4EA2A4D21,119,1,1.0380859375
4FE8CD4987B6,120,1,1.0400390625
50165AB9C6F2,121,1,0.9296875
51DD6A82BD9D,122,1,1.068359375
52B24BAEDC8C,123,1,0.97802734375
5674A7E93E14,124,1,1.033203125
5A91C6A1224E,125,1,0.9404296875
629862A6AB15,126,1,0.99609375
681B9CD21B07,127,1,1.05859375
6E8B43214951,128,1,0.92041015625
77C7BF4D07D2,129,1,1.08203125
7A07A59E5C5B,130,1,1.0107421875
85150B337E02,131,1,1.0478515625
871097AE113C,132,1,1.07421875
99872EA097CC,133,1,1.0068359375
9B6A95DD8E05,134,1,0.9541015625
9EADCECA2FB8,135,1,1.0244140625
9FA3EE5BDBCB,136,1,0.9814453125
A044B8E5308E,137,1,1.009765625
A6B380D5DEBB,138,1,1.005859375
AA15F858439C,139,1,1.0654296875
AAF5D100E836,140,1,1.048828125
ACDF0CAAF77C,141,1,1.029296875
AE0341CCEBDB,142,1,1.0068359375
AF31964E08DE,143,1,1.01171875
B3AB4E6C5678,144,1,0.98095703125
B727B720430B,145,1,1.05078125
BF5E801B7FD6,146,1,0.98095703125
C68590C2792E,147,1,0.98291015625
C6C50AA537AF,148,1,0.99365234375
CB0BF6DDF9B7,149,1,1.0986328125
CB97EA7E4FB7,150,1,1.0283203125
CEB62725E8AC,151,1,0.9794921875
D185087926CD,152,1,0.998046875
D401F5D87E45,153,1,0.9892578125
DACF12F21A7C,154,1,1.025390625
DB62D47E5B0D,155,1,0.9130859375
DDC53C7B5B42,156,1,1.0947265625
