source,prompt_name,task,word_count,p_ai_oof_score
mistral7binstruct_v2,Car-free cities,Text dependent,254,0.9821804961866408
llama_70b_v1,Distance learning,Independent,332,0.997228542090331
chat_gpt_moth,Cell phones at school,Independent,185,0.9624859637012418
darragh_claude_v7,Summer projects,Independent,284,0.9892936146370709
darragh_claude_v6,Facial action coding system,Text dependent,264,0.9907882840138554
mistral7binstruct_v2,Seeking multiple opinions,Independent,286,0.8907267025866525
mistral7binstruct_v2,Seeking multiple opinions,Independent,327,0.9892394637190144
llama_70b_v1,Exploring Venus,Text dependent,366,0.683569276149445
mistral7binstruct_v1,Seeking multiple opinions,Independent,383,0.8645462754576572
mistral7binstruct_v1,Distance learning,Independent,412,0.9773373201588955
chat_gpt_moth,Seeking multiple opinions,Independent,247,0.5894493610325588
llama2_chat,Distance learning,Independent,398,0.3510627086256392
darragh_claude_v6,Driverless cars,Text dependent,310,0.9959370899274763
mistral7binstruct_v2,Distance learning,Independent,238,0.9910934364998495
llama2_chat,Distance learning,Independent,363,0.9614773621469667
darragh_claude_v6,The Face on Mars,Text dependent,365,0.9848863940185386
falcon_180b_v1,Grades for extracurricular activities,Independent,213,0.9974942431272249
mistral7binstruct_v2,Seeking multiple opinions,Independent,271,0.9694788736010793
mistral7binstruct_v1,Seeking multiple opinions,Independent,324,0.8401114862806992
llama_70b_v1,Distance learning,Independent,545,0.9631787956020571
llama_70b_v1,Car-free cities,Text dependent,474,0.45154898975221425
llama_70b_v1,Car-free cities,Text dependent,299,0.6234078500812897
llama2_chat,Mandatory extracurricular activities,Independent,311,0.628905240044038
llama_70b_v1,Facial action coding system,Text dependent,290,0.9811873740008312
darragh_claude_v7,Distance learning,Independent,309,0.8947186874240788
llama2_chat,Facial action coding system,Text dependent,315,0.9873100497408988
mistral7binstruct_v2,Distance learning,Independent,303,0.9821258189776725
llama_70b_v1,Car-free cities,Text dependent,267,0.9912868825050678
darragh_claude_v6,Community service,Independent,285,0.6762321833431852
darragh_claude_v6,Seeking multiple opinions,Independent,355,0.9977088851837238
llama_70b_v1,Car-free cities,Text dependent,542,0.9215230813787676
llama2_chat,Grades for extracurricular activities,Independent,350,0.9235900336538344
llama2_chat,Facial action coding system,Text dependent,370,0.8968643997536305
darragh_claude_v6,Community service,Independent,295,0.9631128621805922
mistral7binstruct_v1,Seeking multiple opinions,Independent,428,0.6196680987465947
mistral7binstruct_v2,Seeking multiple opinions,Independent,383,0.9835083733391214
llama_70b_v1,Car-free cities,Text dependent,284,0.8491697239812233
llama_70b_v1,Summer projects,Independent,438,0.9263440051719654
chat_gpt_moth,Distance learning,Independent,87,0.9983275821193954
mistral7binstruct_v2,Community service,Independent,275,0.5515222189851132
mistral7binstruct_v2,Distance learning,Independent,233,0.8491073757823497
llama_70b_v1,Car-free cities,Text dependent,345,0.8407375859293323
mistral7binstruct_v2,Distance learning,Independent,337,0.8806833779934063
