prompt_name,task,word_count,ell_clean,holistic_essay_score,p_ai_oof_score
Car-free cities,Text dependent,537,No,5,0.03457655930837659
Car-free cities,Text dependent,216,No,2,0.014710617002789665
Car-free cities,Text dependent,631,No,3,0.02867528132190836
Car-free cities,Text dependent,192,No,2,0.21186497107542987
Car-free cities,Text dependent,315,No,4,0.05767843263400701
Car-free cities,Text dependent,609,No,4,0.3225428861261923
Car-free cities,Text dependent,777,No,3,0.0008007771737119649
Car-free cities,Text dependent,706,No,5,0.07031533726347962
Car-free cities,Text dependent,605,No,2,0.005989455563162874
Car-free cities,Text dependent,589,No,4,0.010340149567781863
Car-free cities,Text dependent,394,No,4,0.3504260665472187
Car-free cities,Text dependent,408,No,4,0.48565864653259283
Car-free cities,Text dependent,695,No,4,0.05873144198478142
Car-free cities,Text dependent,685,No,3,0.07832386338166353
Car-free cities,Text dependent,344,No,4,0.703835592610494
Car-free cities,Text dependent,453,No,3,0.24012116751597437
Car-free cities,Text dependent,400,No,3,0.1816585877493557
Car-free cities,Text dependent,398,No,4,0.10307631113404739
Car-free cities,Text dependent,282,No,2,0.7549821537808581
Car-free cities,Text dependent,200,No,1,4.124309654213159e-05
Car-free cities,Text dependent,442,No,4,0.013065482373189878
Car-free cities,Text dependent,762,No,4,0.00042041658548284803
Car-free cities,Text dependent,510,No,3,0.026469713849042315
Car-free cities,Text dependent,363,No,4,0.5366362899526811
Car-free cities,Text dependent,395,No,4,0.7433896684136521
Car-free cities,Text dependent,508,No,4,0.008007804441084886
Car-free cities,Text dependent,444,No,3,0.07330598182163482
Car-free cities,Text dependent,438,No,4,0.22612829226381864
Car-free cities,Text dependent,426,No,3,0.1466798355999515
Car-free cities,Text dependent,889,No,5,0.39470003808957693
Car-free cities,Text dependent,453,No,4,0.00034050139793225865
Car-free cities,Text dependent,257,No,3,0.25113268040044834
Car-free cities,Text dependent,499,No,4,0.0025407570115710803
Car-free cities,Text dependent,483,No,4,0.97142273605004
Car-free cities,Text dependent,553,No,5,0.08648874478412646
Car-free cities,Text dependent,909,No,5,1.5275324490121674e-05
Car-free cities,Text dependent,312,No,2,0.02842001681072931
Car-free cities,Text dependent,441,No,4,0.09454917956504331
Car-free cities,Text dependent,409,No,4,0.6707036326633626
Car-free cities,Text dependent,412,No,4,0.7706093400766764
Car-free cities,Text dependent,497,No,3,0.00038931788490965865
Car-free cities,Text dependent,647,No,4,0.49245295866287114
Car-free cities,Text dependent,204,No,2,0.09977096094174541
Car-free cities,Text dependent,458,No,4,0.3139677273722305
Car-free cities,Text dependent,626,No,3,0.06680190660583453
Car-free cities,Text dependent,232,No,3,0.855452268659503
Car-free cities,Text dependent,566,No,5,0.23631300445174244
Car-free cities,Text dependent,177,No,1,0.9941408329580637
Car-free cities,Text dependent,458,No,4,0.27747038805633456
Car-free cities,Text dependent,395,No,3,0.4627734582114565
Car-free cities,Text dependent,387,No,3,0.03024515103683426
Car-free cities,Text dependent,453,No,3,0.5182550839055894
Car-free cities,Text dependent,544,No,3,0.14113981942916556
Car-free cities,Text dependent,451,No,3,0.10296414861998303
Car-free cities,Text dependent,388,No,4,0.23495833567661625
Car-free cities,Text dependent,197,No,1,0.005169409728828256
Car-free cities,Text dependent,844,No,5,0.007136408778990299
Car-free cities,Text dependent,250,No,2,0.2929759000764925
Car-free cities,Text dependent,538,Yes,3,0.002734068091465123
Car-free cities,Text dependent,486,No,3,0.5846771430765549
Car-free cities,Text dependent,267,No,2,0.6090556158900168
Car-free cities,Text dependent,266,No,1,0.010567173041347551
Car-free cities,Text dependent,285,No,1,0.9961434520783151
Car-free cities,Text dependent,171,No,1,0.047903581889591526
Car-free cities,Text dependent,291,No,1,0.321762408877148
Car-free cities,Text dependent,629,No,4,0.021642035519410675
Car-free cities,Text dependent,358,No,2,0.45105781704629627
Car-free cities,Text dependent,509,No,4,0.14658931590036658
Car-free cities,Text dependent,521,No,2,0.03269787801872934
Car-free cities,Text dependent,310,No,3,0.32154546229816106
Car-free cities,Text dependent,542,No,3,0.2065996678232835
Car-free cities,Text dependent,903,No,6,0.04341055998122047
Car-free cities,Text dependent,323,No,2,0.5521885937252532
Car-free cities,Text dependent,1006,No,5,0.01641231346681187
Car-free cities,Text dependent,205,No,2,0.01419076575028836
Car-free cities,Text dependent,833,No,4,4.397575856938673e-06
Car-free cities,Text dependent,314,No,1,0.988245957585441
Car-free cities,Text dependent,534,No,4,0.24284805178288799
Car-free cities,Text dependent,430,No,3,0.0123493301707497
Car-free cities,Text dependent,538,No,4,0.3119601995583489
Car-free cities,Text dependent,423,No,3,0.03329059531634985
Car-free cities,Text dependent,338,No,2,0.09570962634875155
